Course ID,Department,Course,Section,Course Title,Name,Schedule,LMT/ENR/WL,LMT,ENR,WL,Location,Yr,Trm,Sub
AC 121 01,AC,121,1,Principles of Accounting I,"Thomas, R",M W F 7:45AM-8:50AM,45/23/0,45,23,0,,2023-24,WI,
AC 122 01,AC,122,1,Principles of Accounting II,"Pilcher, A",MWF 12:00PM-1:05PM,45/44/11,45,44,11,,2023-24,WI,
AC 122 02,AC,122,2,Principles of Accounting II,"Pilcher, A",M W F 2:30PM-3:35PM,45/42/13,45,42,13,,2023-24,WI,
AC 322 01,AC,322,1,Intermediate Accounting II,"Thomas, R",M W F 9:00AM-10:05AM,28/20/0,28,20,0,,2023-24,WI,
AC 323 01,AC,323,1,Cost Accounting,"Thomas, R",M W F 10:45AM-11:50AM,30/14/0,30,14,0,,2023-24,WI,
AC 420 01,AC,420,1,Auditing,"Sommermeyer, E",M W F 10:45AM-11:50AM,24/6/0,24,6,0,,2023-24,WI,
AC 422 01,AC,422,1,Government & Non Profit Accounting,"Pilcher, A",T H 7:45AM-9:25AM,24/6/0,24,6,0,,2023-24,WI,
AC 424 01,AC,424,1,Income Tax Accounting II,"Sommermeyer, E",M W F 1:15PM-2:20PM,40/3/0,40,3,0,,2023-24,WI,
ART 108 01,ART,108,1,Graphic Design,"Elkashif, M",M W F 1:15PM-2:20PM,17/16/0,17,16,0,FAC 114C,2023-24,WI,
ART 111 01,ART,111,1,Drawing,"Fedeler, B",T H 1:00PM-3:35PM,13/13/9,13,13,9,FAC 114D,2023-24,WI,
ART 135 01,ART,135,1,Ceramics I,"Knivsland, R",T H 1:00PM-2:40PM,13/13/6,13,13,6,FAC 031,2023-24,WI,
ART 205 01,ART,205,1,Communication Design,"Elkashif, M",M W F 10:45AM-11:50AM,18/18/3,18,18,3,FAC 114C,2023-24,WI,
ART 310 01,ART,310,1,Advanced Design Projects,"Elkashif, M",T H 1:00PM-2:40PM,20/8/0,20,8,0,FAC 114C,2023-24,WI,
ART 462 01,ART,462,1,Seminar in Art: Exhibition,"Fedeler, B",T 6:30PM-8:10PM,10/6/00,10,6,0,FAC 114J,2023-24,WI,
BA 331 01,BA,331,1,Business Law I,"Luhring, L",MWF 12:00PM-1:05PM,40/40/1,40,40,1,,2023-24,WI,
BA 334 01,BA,334,1,Business Finance,"Ross, C",MWF 9:00AM-10:05AM,36/18/0,36,18,0,,2023-24,WI,
BA 336 01,BA,336,1,Investments,"Ross, C",M W F 10:45AM-11:50AM,32/28/0,32,28,0,,2023-24,WI,
BA 345 01,BA,345,1,Principles of Management,"Meyeraan, S",T H 7:45AM-9:25AM,32/16/0,32,16,0,,2023-24,WI,
BA 345 02,BA,345,2,Principles of Management,"Meyeraan, S",T H 9:35AM-11:15AM,32/22/0,32,22,0,,2023-24,WI,
BA 346 01,BA,346,1,Human Resource Management,"Meyeraan, S",M W F 9:00AM-10:05AM,35/22/0,35,22,0,,2023-24,WI,
BA 353 01,BA,353,1,Principles of Marketing,"Bernard, A",M W F 9:00AM-10:05AM,32/31/3,32,31,3,,2023-24,WI,
BA 353 02,BA,353,2,Principles of Marketing,"Gonnerman, M",M W F 12:00PM-1:05PM,32/20/0,32,20,0,,2023-24,WI,
BA 363 01,BA,363,1,Business Data Analytics,"TBA, T",M W F 1:15PM-2:20PM,25/24/1,25,24,1,,2023-24,WI,
BA 375 01,BA,375,1,Online Marketing,"TBA, T",T H 9:35AM-11:15AM,32/22/0,32,22,0,,2023-24,WI,
BA 377 01,BA,377,1,Non-profit Management,"Gonnerman, M",M W F 9:00AM-10:05AM,45/8/0,45,8,0,,2023-24,WI,
BA 418 01,BA,418,1,Sustainable Economics and Finance,"Quaicoe, N",M W F 12:00PM-1:05PM,30/16/0,30,16,0,,2023-24,WI,
BA 438 01,BA,438,1,Organizational Behavior & Mgmt,"Gonnerman, M",M W F 12:00PM-1:05PM,30/12/0,30,12,0,,2023-24,WI,
BA 454 01,BA,454,1,Advertising and Promotion,"TBA, T",M W F 10:45AM-11:50AM,30/27/0,30,27,0,,2023-24,WI,
BA 460 01,BA,460,1,Senior Seminar in Business,"Bernard, A",T H 7:45AM-9:25AM,22/17/0,22,17,0,,2023-24,WI,
BA 460 02,BA,460,2,Senior Seminar in Business,"Bernard, A",T H 9:35AM-11:15AM,22/18/0,22,18,0,,2023-24,WI,
BA 481 01,BA,481,1,Fin Stmt Anlysis & Secur Valuation,"Sommermeyer, E",T H 9:35AM-11:15AM,40/28/0,40,28,0,,2023-24,WI,
BI 130 01,BI,130,1,Drugs and Personal Health,"Davidson, C",MW F 10:45AM-11:50AM,24/17/0,24,17,0,,2023-24,WI,
BI 130 01,BI,130,1,Drugs and Pers Health Lab,"Davidson, C",T 1:00PM-2:40PM,24/17/0,24,17,0,,2023-24,WI,
BI 131 01,BI,131,1,Biology of Ordinary Things,"Bechtel, M",M W F 9:00AM-10:05AM,24/22/2,24,22,2,,2023-24,WI,
BI 131 01,BI,131,1,Biology of Ordinary Things Lab,"Bechtel, M",T 7:45AM-9:25AM,24/24/2,24,24,2,,2023-24,WI,
BI 131 02,BI,131,2,Biology of Ordinary Things,"Bechtel, M",M W F 10:45AM-11:50AM,24/24/1,24,24,1,,2023-24,WI,
BI 131 02,BI,131,2,Biology of Ordinary Things Lab,"Bechtel, M",T 9:35AM-11:15AM,24/22/1,24,22,1,,2023-24,WI,
BI 152 01,BI,152,1,"Bio II:Structure, Function, Ecosyst","Toering Peters, S",M W F 9:00AM-10:05AM,70/65/15,70,65,15,,2023-24,WI,
BI 152 01,BI,152,1,"Bio II:Structure, Func, Ecosyst Lab","Berns, E",T 7:45AM-11:00AM,24/22/12,24,22,12,,2023-24,WI,
BI 152 02,BI,152,2,"Bio II:Structure, Function, Ecosyst","Larimer Bousquet, S",M W F 10:45AM-11:50AM,50/47/27,50,47,27,,2023-24,WI,
BI 152 02,BI,152,2,"Bio II:Structure, Func, Ecosyst Lab","Karki, S",T 1:00PM-4:15PM,24/22/10,24,22,10,,2023-24,WI,
BI 152 03,BI,152,3,"Bio II:Structure, Func, Ecosyst Lab","Karki, S",W 1:15PM-4:30PM,24/24/2,24,24,2,,2023-24,WI,
BI 152 04,BI,152,4,"Bio II:Structure, Func, Ecosyst Lab","Larimer Bousquet, S",H 7:45AM-11:00AM,24/22/12,24,22,12,,2023-24,WI,
